id,t,patientAMKA,doctorAMKA,diagnosis
1,2017-01-01 00:13:05,344026855750287,6304745877947815701,
2,2017-01-01 00:17:02,5602223679431287,36756544512499,
3,2017-01-01 00:20:24,56022106731079688,372301064587696,S52282F
4,2017-01-01 00:21:52,3585313417632167,4986101036974,Y36040
5,2017-01-01 00:25:34,5411708623011319,374283551924806,M3504
6,2017-01-01 00:39:37,5048372336810904,374622986283793,
9,2017-01-01 00:43:36,30314134227387,372301064587696,
11,2017-01-01 01:10:29,6385889158726818,372301064587696,L230
12,2017-01-01 01:12:50,4026221654365133,3565872852409203,T81516S
13,2017-01-01 01:17:18,3548950820137239,4844890553480605,W9411XS
14,2017-01-01 01:17:27,5251907933250038,5100177349948590,S56493
16,2017-01-01 01:27:17,3568879343840745,30400751029246,M7501
17,2017-01-01 01:35:52,5450219980245633,63048034991073397,H159
19,2017-01-01 01:39:15,3537882242200373,374622986283793,W1841
21,2017-01-01 02:32:00,5100131674044004,3537844417030308,
22,2017-01-01 02:33:31,5610556347791495,3538166810727911,M3504
23,2017-01-01 02:35:54,4903105560445311,3531589109644678,M25262
24,2017-01-01 02:40:42,4041374797904994,30417115040586,
25,2017-01-01 02:47:11,3582374339719493,30400751029246,
26,2017-01-01 02:53:05,3580351532708780,201976947992697,S56493
29,2017-01-01 02:58:08,675950968076079158,3537859511007622,
30,2017-01-01 03:00:41,6709541422226304253,3537859511007622,M7501
31,2017-01-01 03:12:28,4405162980157888,3549504964126885,W932XXD
32,2017-01-01 03:21:24,4474151875160129,3565872852409203,
33,2017-01-01 03:22:03,5602229573102482055,4986101036974,W1841
37,2017-01-01 04:01:03,3576454255332519,63048034991073397,
38,2017-01-01 04:01:15,4175002974731298,6042728556976184,
39,2017-01-01 04:10:55,337941433044848,3537844417030308,S82032C
42,2017-01-01 04:40:53,3564113919384530,372301064587696,
43,2017-01-01 04:45:40,4026844593687323,3538166810727911,Y36040
44,2017-01-01 04:53:46,374283822073078,372301064587696,S82399F
45,2017-01-01 05:00:06,5412176002245321,374283551924806,M3504
46,2017-01-01 05:04:42,56022508617123128,6331101528239306450,O2491
47,2017-01-01 05:17:56,201540990548655,374283551924806,M7501
48,2017-01-01 05:18:06,3548260370809124,4844890553480605,M25262
49,2017-01-01 05:21:34,3532474312971656,374622986283793,
50,2017-01-01 05:40:08,5602256656624881908,372301064587696,W1841
51,2017-01-01 05:42:08,564182624668075411,36756544512499,
52,2017-01-01 05:48:23,4175002793014041,5602233538436732,
53,2017-01-01 05:51:16,56022121291693505,6304161666376116,K449
55,2017-01-01 06:11:10,3567367932553383,374622986283793,
56,2017-01-01 06:20:17,670635591586262330,374288783393498,S82399F
58,2017-01-01 06:28:14,3534278505749912,3531589109644678,
59,2017-01-01 06:29:02,3563898918362427,4913781114412342,
60,2017-01-01 06:33:21,201930901554928,5100138761745641,M84454G
62,2017-01-01 06:48:13,36524812642202,4913457862323862,W9411XS
64,2017-01-01 06:56:11,5121759631476318,63048034991073397,S83134A
65,2017-01-01 06:57:30,3566827466438369,3531589109644678,
66,2017-01-01 07:01:18,4041376323600152,633325356325741801,
67,2017-01-01 07:10:59,3547969558067500,633325356325741801,M84454G
68,2017-01-01 07:12:18,201890539813387,374288783393498,S1121XS
69,2017-01-01 07:16:30,30367850459121,201976947992697,S6980XS
70,2017-01-01 07:25:02,4905994230196575101,6331101528239306450,S82871E
71,2017-01-01 07:33:15,5602223525388544707,4913457862323862,
72,2017-01-01 07:33:57,589385265401329665,5602233538436732,V1900
73,2017-01-01 07:37:35,564182624668075411,3531589109644678,
74,2017-01-01 07:55:24,6390299160388248,3549504964126885,S6699
75,2017-01-01 07:57:21,3550861407391435,30417115040586,
76,2017-01-01 07:58:14,6709308003864899979,6304745877947815701,S62643S
77,2017-01-01 07:59:15,67618174531205926,3565165312704283,K449
78,2017-01-01 07:59:28,3585538460184415,5602233538436732,W9411XS
79,2017-01-01 08:09:59,3588583286148761,6304745877947815701,T81516S
81,2017-01-01 08:27:48,374288058566216,3549504964126885,
82,2017-01-01 08:35:03,4629069465708,30417115040586,
83,2017-01-01 08:35:24,3540801409624550,4844890553480605,
84,2017-01-01 08:52:16,3574654766766533,5602233538436732,
85,2017-01-01 08:53:15,3575678313891618,5100177349948590,
87,2017-01-01 09:06:59,3589129527058382,3537859511007622,S1121XS
89,2017-01-01 09:25:29,67610173528063981,3538166810727911,H159
91,2017-01-01 09:27:53,3540539460063538,3565165312704283,
92,2017-01-01 09:28:17,3556302141816084,5100177349948590,
95,2017-01-01 09:40:05,6762616892370493,5602233538436732,L230
96,2017-01-01 09:45:47,670635591586262330,6331101528239306450,S82032C
98,2017-01-01 09:51:55,589386708913085787,4913781114412342,K449
99,2017-01-01 10:07:06,5100171506104063,36756544512499,
100,2017-01-01 10:10:02,5602233449072715622,3537859511007622,S52282F
101,2017-01-01 10:11:52,6709308003864899979,3538166810727911,T81516S
102,2017-01-01 10:16:12,3565314059360889,5602233538436732,S1121XS
103,2017-01-01 10:19:17,5602252032170001,4986101036974,S63281S
104,2017-01-01 10:23:05,3540972056950505,6331101528239306450,
105,2017-01-01 10:24:43,3582400817842778,63048034991073397,W932XXD
106,2017-01-01 10:38:25,5602243683994203,3537844417030308,
107,2017-01-01 10:44:06,6334221695988918105,3528546887247160,
108,2017-01-01 10:44:13,3559417182000468,30400751029246,M84454G
109,2017-01-01 10:51:54,5435051482672299,3528546887247160,O2491
110,2017-01-01 10:55:18,676388520077252241,3549504964126885,
111,2017-01-01 10:56:27,4405454004615185,30400751029246,M25262
112,2017-01-01 10:59:16,201404197729800,4844890553480605,S56493
113,2017-01-01 10:59:30,4917350859351523,374283551924806,W932XXD
114,2017-01-01 11:02:22,3554334661254281,4986101036974,L230
115,2017-01-01 11:25:37,3563753002873757,633325356325741801,W932XXD
117,2017-01-01 11:31:33,633379798810452128,3531589109644678,S52282F
118,2017-01-01 11:35:08,4844170190332877,36756544512499,L230
119,2017-01-01 11:39:56,3574654766766533,6331101528239306450,W9411XS
120,2017-01-01 11:43:40,3577709405316293,372301064587696,
121,2017-01-01 11:46:23,6334758282285849381,4844890553480605,S83134A
124,2017-01-01 12:04:15,3548763441883556,5602233538436732,S2223XB
125,2017-01-01 12:18:12,3573924077739615,372301064587696,
126,2017-01-01 12:18:21,30267940959348,201976947992697,
127,2017-01-01 12:19:00,3531950013110349,6304161666376116,M1A079
128,2017-01-01 12:20:28,3559677186791350,3533987886801784,V1900
129,2017-01-01 12:34:20,5007667730186788,3537859511007622,O2491
130,2017-01-01 12:39:31,374283240607416,6331101528239306450,S6699
131,2017-01-01 12:47:38,201876882989627,3533987886801784,
132,2017-01-01 12:49:22,6331107230809183286,6304745877947815701,S56493
134,2017-01-01 12:58:59,3562029907060092,3538166810727911,
135,2017-01-01 12:59:16,3580414896955296,6331101528239306450,
136,2017-01-01 13:05:09,3537866689172849,4986101036974,S63281S
137,2017-01-01 13:13:34,3560790410540001,3537859511007622,S2223XB
138,2017-01-01 13:18:20,3569054023244050,5100138761745641,S82032C
141,2017-01-01 13:32:41,5181283216784597,63048034991073397,S56493
142,2017-01-01 13:33:01,3579795781192836,4986101036974,S63281S
144,2017-01-01 13:46:13,3531074401050825,374283551924806,O2491
145,2017-01-01 13:49:47,3576562192639646,374622986283793,
149,2017-01-01 14:03:17,5137008055745838,6042728556976184,
150,2017-01-01 14:14:35,3557461557481228,6304745877947815701,W9411XS
151,2017-01-01 14:19:30,3545850237820299,6331101528239306450,H159
152,2017-01-01 14:20:00,3583933721747641,30400751029246,L230
153,2017-01-01 14:20:31,5602257922971293,5100177349948590,W1841
154,2017-01-01 14:20:58,677157553714643982,3531589109644678,
155,2017-01-01 14:25:14,3543961949693973,63048034991073397,
156,2017-01-01 14:25:57,3572723654780377,6304745877947815701,
157,2017-01-01 14:27:11,5475235715910391,3565872852409203,
161,2017-01-01 15:09:27,5137008055745838,5100138761745641,S52282F
162,2017-01-01 15:13:47,4041594377136366,30417115040586,S82871E
163,2017-01-01 15:31:14,3533267264448734,63048034991073397,S52282F
164,2017-01-01 15:37:15,6706253316800738585,6304745877947815701,
167,2017-01-01 16:09:36,5602214558408934,3537844417030308,W9411XS
169,2017-01-01 16:15:54,3545805716040769,6304161666376116,
170,2017-01-01 16:20:08,5602242228175146,3533987886801784,S82032C
171,2017-01-01 16:31:44,337941374574274,3537844417030308,
172,2017-01-01 16:34:59,3565431383487939,3565165312704283,
173,2017-01-01 16:38:14,5435051482672299,6304161666376116,
174,2017-01-01 16:39:25,6763737005345336,201976947992697,S82871E
175,2017-01-01 16:40:43,5602259710207310,4913457862323862,
176,2017-01-01 16:40:52,3554450461336720,3537844417030308,W1841
177,2017-01-01 16:49:44,5048372776385425,4913781114412342,S6980XS
178,2017-01-01 16:51:00,5602247213127150,30400751029246,
179,2017-01-01 16:56:44,3572776720998761,5100138761745641,S6980XS
180,2017-01-01 16:58:42,30347587438093,63048034991073397,S82871E
181,2017-01-01 17:07:10,4905994230196575101,6304745877947815701,S82871E
182,2017-01-01 17:10:13,3547464121271359,4986101036974,
184,2017-01-01 17:10:31,6709170882200779,3528546887247160,W1841
185,2017-01-01 17:28:27,67618174531205926,3537844417030308,W1841
186,2017-01-01 17:29:44,3557907049710673,4913457862323862,H52532
189,2017-01-01 17:34:06,3585470822034296,5100177349948590,S6699
191,2017-01-01 17:35:16,3554426210723624,30400751029246,M84454G
194,2017-01-01 18:09:29,3538388479294823,4913457862323862,L230
195,2017-01-01 18:11:11,4175003847889768,374622986283793,S56493
197,2017-01-01 18:22:49,4405641371421813,3565872852409203,S52613B
198,2017-01-01 18:44:52,3573420340583260,372301064587696,S82399F
199,2017-01-01 18:45:20,5602218365731735,36756544512499,L230
200,2017-01-01 18:49:57,3582206579432413,372301064587696,
201,2017-01-01 18:54:43,3580858362544481,30417115040586,
202,2017-01-01 19:06:19,4903105560445311,3538166810727911,Y36040
203,2017-01-01 19:13:13,201540990548655,3533987886801784,S2223XB
205,2017-01-01 19:19:20,4936460249866309,3538166810727911,S82871E
206,2017-01-01 19:27:41,560225165580282971,36756544512499,
207,2017-01-01 19:30:59,201876882989627,6331101528239306450,
208,2017-01-01 19:31:02,3568745258430378,374622986283793,S82032C
209,2017-01-01 19:34:28,344260037839219,4913457862323862,S52613B
210,2017-01-01 19:50:04,374283143389815,6304745877947815701,M84454G
211,2017-01-01 19:52:32,5411708623011319,6042728556976184,
212,2017-01-01 20:04:49,3547261302081064,3565165312704283,
213,2017-01-01 20:06:41,4041373514957046,201976947992697,S82032C
214,2017-01-01 20:10:34,3540972056950505,3533987886801784,L230
215,2017-01-01 20:13:22,3564460405215698,4844890553480605,
216,2017-01-01 20:23:06,493642450296865064,374288783393498,K449
218,2017-01-01 20:34:43,3561671576016672,3538166810727911,
219,2017-01-01 20:50:27,3569054023244050,6042728556976184,M3504
220,2017-01-01 20:53:28,561032065502418532,374288783393498,
221,2017-01-01 21:29:35,3576300625120292,6304161666376116,S82871E
222,2017-01-01 21:31:05,3548304480923183,30400751029246,T81516S
223,2017-01-01 21:34:00,4936460249866309,3533987886801784,O2491
227,2017-01-01 22:01:08,3542275521475035,4844890553480605,
231,2017-01-01 22:29:56,6392958406818247,5100138761745641,W932XXD
232,2017-01-01 22:44:22,5100170896479846,3533987886801784,
233,2017-01-01 23:14:04,3585310245577333,4986101036974,H159
234,2017-01-01 23:17:34,5100172404916327,4913781114412342,H159
235,2017-01-01 23:32:28,4175002793014041,6304745877947815701,
236,2017-01-01 23:34:45,5602248005851858,3537859511007622,S2223XB
237,2017-01-01 23:46:47,633462284613599397,4844890553480605,M84454G
239,2017-01-01 23:47:58,564182989563102077,3537859511007622,T81516S
244,2017-01-02 00:18:55,201878278366071,3531589109644678,S82871E
245,2017-01-02 00:21:33,50380397023333870,6304745877947815701,S6980XS
246,2017-01-02 00:42:38,3559676801692688,3537844417030308,W1841
247,2017-01-02 00:53:10,589397306757061738,372301064587696,
249,2017-01-02 01:10:53,3571443705488539,3531589109644678,S62643S
251,2017-01-02 01:24:19,3530790489074970,3537844417030308,
253,2017-01-02 02:03:19,6709170882200779,3549504964126885,
254,2017-01-02 02:04:44,6331108532325308357,3533987886801784,
256,2017-01-02 02:13:13,3567727380334331,6304161666376116,S82032C
257,2017-01-02 02:14:59,3557907049710673,374622986283793,M25262
260,2017-01-02 02:28:24,5108754918350101,633325356325741801,
261,2017-01-02 02:36:04,3546667453013691,63048034991073397,Y36040
262,2017-01-02 02:42:09,3564113919384530,3533987886801784,
263,2017-01-02 02:42:51,3547483438882674,374288783393498,
264,2017-01-02 02:44:34,3566986469704647,30400751029246,
265,2017-01-02 02:49:15,5010126763611100,3531589109644678,
266,2017-01-02 02:52:20,30452229462764,4986101036974,S52282F
267,2017-01-02 03:03:45,4026780418864814,5100138761745641,K449
268,2017-01-02 03:08:11,3581992744715953,4986101036974,
271,2017-01-02 03:16:11,67637192646007042,63048034991073397,S63281S
273,2017-01-02 03:22:35,3569358815299986,30400751029246,
274,2017-01-02 03:28:02,3585876182978031,5602233538436732,S63281S
275,2017-01-02 03:29:00,3543961949693973,3537859511007622,S2223XB
276,2017-01-02 03:29:41,6709170882200779,6331101528239306450,
278,2017-01-02 03:48:45,3530902436302541,3538166810727911,M3504
279,2017-01-02 03:50:47,3580740532674937,63048034991073397,
281,2017-01-02 03:58:37,5602210334133358,3565165312704283,
282,2017-01-02 03:58:55,3558532179611951,374622986283793,V1900
283,2017-01-02 04:16:07,3569120954745942,63048034991073397,
284,2017-01-02 04:17:00,3579867798465156,3538166810727911,
285,2017-01-02 04:44:25,5602218365731735,3537859511007622,
286,2017-01-02 04:46:17,5328253956382294,374288783393498,
287,2017-01-02 04:49:30,4405292274405493,6042728556976184,
288,2017-01-02 04:52:03,4911107579083984,372301064587696,
289,2017-01-02 04:55:35,3583458531682572,4844890553480605,W932XXD
290,2017-01-02 04:57:23,6383115093626125,5100138761745641,
292,2017-01-02 05:22:23,5571598653743345,63048034991073397,
293,2017-01-02 05:29:50,5038854201774126003,3565165312704283,
294,2017-01-02 05:32:41,60463131965019539,3537859511007622,H52532
296,2017-01-02 05:46:01,201424625766976,4986101036974,M3504
298,2017-01-02 06:23:25,3532767332848717,6331101528239306450,S1121XS
299,2017-01-02 06:23:52,3534564363067319,374622986283793,S83134A
300,2017-01-02 06:32:03,560223134707985181,374288783393498,
301,2017-01-02 06:34:32,5610556347791495,374622986283793,
303,2017-01-02 06:50:31,3568453812201829,3549504964126885,Y36040
304,2017-01-02 07:04:53,3572589329846392,3538166810727911,S6699
305,2017-01-02 07:06:53,5121759631476318,3537859511007622,S82871E
306,2017-01-02 07:09:48,3568409435398913,3533987886801784,
307,2017-01-02 07:10:51,4911802401349992143,3528546887247160,W9411XS
309,2017-01-02 07:23:30,6761207765447342262,6331101528239306450,S82871E
311,2017-01-02 07:41:50,3541012807041970,4913781114412342,
312,2017-01-02 07:42:23,36997800727138,3565165312704283,W9411XS
313,2017-01-02 07:43:52,5602247059649176,3565165312704283,
314,2017-01-02 07:44:06,372301050780081,201976947992697,W9411XS
315,2017-01-02 07:45:39,5602257922971293,3537844417030308,S56493
316,2017-01-02 07:53:51,3561700239542467,3565872852409203,
317,2017-01-02 07:55:01,3563299140409708,201976947992697,
318,2017-01-02 08:02:20,5108754918350101,3537859511007622,
319,2017-01-02 08:03:09,4405454004615185,3549504964126885,S62643S
320,2017-01-02 08:31:28,30184089123232,374288783393498,T81516S
321,2017-01-02 08:39:35,3583933721747641,5602233538436732,L02225
322,2017-01-02 08:53:28,201686444999521,4913457862323862,M7501
323,2017-01-02 08:53:38,30228637167231,6042728556976184,M84454G
324,2017-01-02 08:55:05,56022106731079688,633325356325741801,
325,2017-01-02 08:55:22,6374558263903777,374283551924806,
326,2017-01-02 09:10:09,6767710174805929108,3565872852409203,S52282F
327,2017-01-02 09:12:04,4405523877462832,30400751029246,S62643S
328,2017-01-02 09:15:05,3572776720998761,6304161666376116,V1900
329,2017-01-02 09:23:24,3543325751139642,3565872852409203,V1900
330,2017-01-02 09:25:58,3574974850376365,6042728556976184,
331,2017-01-02 09:26:40,5602233449072715622,4844890553480605,W932XXD
332,2017-01-02 09:30:19,3584826581335375,63048034991073397,
333,2017-01-02 09:30:35,3569054023244050,30417115040586,M3504
334,2017-01-02 09:35:06,3551008020406682,3549504964126885,
335,2017-01-02 09:38:50,4041376323600152,4913457862323862,
336,2017-01-02 09:43:52,3572776720998761,3533987886801784,S82871E
337,2017-01-02 10:00:06,6706253316800738585,3531589109644678,
338,2017-01-02 10:02:03,3534608921626999,30400751029246,S2223XB
339,2017-01-02 10:03:48,3570442248270892,36756544512499,
341,2017-01-02 10:15:22,3589651246499050,3531589109644678,
342,2017-01-02 10:16:17,58931784229775813,3531589109644678,S82399F
343,2017-01-02 10:49:19,50183592728439985,3528546887247160,W9411XS
344,2017-01-02 10:57:06,3540767533109489,3533987886801784,
346,2017-01-02 11:19:58,3570997373685610,5100138761745641,
347,2017-01-02 11:27:07,5335726140257531,5602233538436732,S56493
348,2017-01-02 11:29:53,4041376323600152,3549504964126885,L230
350,2017-01-02 11:48:38,3546530524009975,201976947992697,S83134A
352,2017-01-02 12:10:23,3572723654780377,5602233538436732,M25262
354,2017-01-02 12:29:49,3560227466685406,3549504964126885,
355,2017-01-02 12:33:03,5602233296852286,374288783393498,
356,2017-01-02 12:34:43,5371389631674022,6331101528239306450,W932XXD
357,2017-01-02 12:44:03,3531372598083181,633325356325741801,
358,2017-01-02 12:49:07,3531950013110349,5100177349948590,
359,2017-01-02 12:50:03,560223562631305318,6042728556976184,
360,2017-01-02 12:58:39,4911280411516097,5100138761745641,O2491
361,2017-01-02 12:59:05,3547483438882674,5100138761745641,
362,2017-01-02 13:10:49,5100143016472181,3537859511007622,
363,2017-01-02 13:12:09,6331101816250966,5100138761745641,L02225
364,2017-01-02 13:17:46,5602237053080486,63048034991073397,
365,2017-01-02 13:17:50,3576267413708580,374283551924806,
367,2017-01-02 13:28:24,3559417182000468,5100177349948590,
368,2017-01-02 13:35:00,372301964842423,6331101528239306450,M25262
369,2017-01-02 13:48:08,4913965136170091,3537859511007622,
370,2017-01-02 13:50:44,3557271380027944,201976947992697,
371,2017-01-02 13:51:16,3531711818737250,5100138761745641,S6699
372,2017-01-02 14:20:29,3549450688022374,6304745877947815701,S62643S
373,2017-01-02 14:25:14,6767011911221373536,201976947992697,
374,2017-01-02 14:28:31,3572867106116985,3533987886801784,W1841
377,2017-01-02 15:00:18,50183592728439985,3531589109644678,
378,2017-01-02 15:06:00,564182624668075411,6304161666376116,L02225
381,2017-01-02 15:23:17,4936287679018702064,5602233538436732,
382,2017-01-02 15:55:47,337941433044848,201976947992697,
